Segmented_Min,NonSegmented_Min,Segmented_Win,NonSegmented_Win,Delta
9.72867777449e-08,1.98991815756,1,0,1.98991806028
1.98991816527,1.98991814905,0,1,-1.62149476068e-08
0.994959393697,0.994959134309,0,1,-2.59388771795e-07
6.04803194193e-08,0.994959080419,1,0,0.994959019938
2.19549637137e-07,2.98487775166,1,0,2.98487753211
2.17838929117e-07,3.97983674253,1,0,3.9798365247
1.50302399859e-07,1.98991820588,1,0,1.98991805558
4.11473049411e-07,1.98991816084,1,0,1.98991774937
0.994959076736,1.98991816688,1,0,0.99495909014
0.994959258498,3.9798367628,1,0,2.9848775043
0.994959141299,1.0039494569e-07,0,1,-0.994959040904
1.36548630181e-07,3.26101545767e-08,0,1,-1.03938475604e-07
1.78021046793e-07,2.98487720885,1,0,2.98487703083
2.25353407046e-08,0.994959082141,1,0,0.994959059606
1.18472639699e-07,1.9899182626,1,0,1.98991814412
0.994959166749,0.994959200501,1,0,3.37515970728e-08
0.994959343906,2.9848773783,1,0,1.98991803439
0.994959141774,1.98992104855,1,0,0.994961906776
3.59243124137e-09,1.67286106745e-07,1,0,1.63693675503e-07
1.98991820726,0.994959158437,0,1,-0.994959048821
